PROMOTION_CODE|COUPON_CODE|BUSINESS_DATE|TRANSACTION_DATE|GL_POST_DATE|STORE_NO|SKU_NUMBER|TRANSACTION_NUMBER|TRANSACTION_LINE_NUMBER|TERMINAL_ID|TRANSACTION_TYPE|ATG_ORDER_NO|LOCAL_DISCOUNT_AMT|ATG_PROFILE_ID|BI_USA_ID
EMPL:SEPH_EMPL_GENERAL|EMPL|2020-02-27|2020-02-27 15:16:03||676|1473727|13477|1|1|SALE||5.70||
EMPL:SEPH_EMPL_40|EMPL|2020-02-27|2020-02-27 15:16:03||676|1332980|13477|2|1|SALE||19.80||
EMPL:SEPH_EMPL_GENERAL|EMPL|2020-02-27|2020-02-27 15:16:03||676|1495837|13477|3|1|SALE||7.50||
EMPL:SEPH_EMPL_GENERAL|EMPL|2020-02-27|2020-02-27 15:16:03||676|1221084|13477|4|1|SALE||6.60||
EMPL:SEPH_EMPL_GENERAL|EMPL|2020-02-27|2020-02-27 15:16:03||676|1008572|13477|5|1|SALE||24.60||
EMPL:SEPH_EMPL_GENERAL|EMPL|2020-02-27|2020-02-27 15:16:03||676|1325018|13477|6|1|SALE||2.10||
EMPL:SEPH_EMPL_GENERAL|EMPL|2020-02-27|2020-02-27 15:16:03||676|1430727|13477|7|1|SALE||3.90||
56||2020-02-27|2020-02-27 15:17:37||676|1477371|13478|1|1|SALE||20.00||
56||2020-02-27|2020-02-27 15:17:37||676|1221084|13478|2|1|SALE||4.40||
00||2020-02-27|2020-02-27 14:12:49||48|1784636|4952|1|1|RETURN||-5.40||
00||2020-02-27|2020-02-27 14:12:49||48|1784636|4952|2|1|SALE||5.40||
17||2020-02-27|2020-02-27 18:02:01||66|1221084|37058|1|1|SALE||1.43||
17||2020-02-27|2020-02-27 18:02:01||66|1477371|37058|2|1|SALE||7.14||
17||2020-02-27|2020-02-27 18:02:01||66|1221084|37058|3|1|SALE||1.43||
EMPL:SEPH_EMPL_GENERAL|EMPL|2020-02-27|2020-02-27 18:04:02||66|1221084|37060|1|1|SALE||6.60||
EMPL:SEPH_EMPL_GENERAL|EMPL|2020-02-27|2020-02-27 18:04:02||66|1221084|37060|1|1|SALE||1.43||
EMPL:SEPH_EMPL_GENERAL|EMPL|2020-02-27|2020-02-27 18:04:02||66|1221084|37060|2|1|SALE||6.60||
EMPL:SEPH_EMPL_GENERAL|EMPL|2020-02-27|2020-02-27 18:04:02||66|1221084|37060|2|1|SALE||1.43||
EMPL:SEPH_EMPL_GENERAL|EMPL|2020-02-27|2020-02-27 18:04:02||66|1477371|37060|3|1|SALE||33.00||
EMPL:SEPH_EMPL_GENERAL|EMPL|2020-02-27|2020-02-27 18:04:02||66|1477371|37060|3|1|SALE||7.14||
215:1160:143||2020-02-11|2020-02-11 14:37:04||1104|1849199|70874|1|4|SALE||70.00||
