sephora_id,order_number,atg_order_number,purchase_date,product_sk,sku_number,store_number,discount_amount,transaction_type,currency_code,void_flag,dotcom_guest_flag,brand_name,sample_sku_code,csr_id,standard_sample_flag,total_sales_local_amount,gross_units,product_category,merch_code,country_origin,mplus_flag,transaction_number,transaction_sequence_number,shipped_date,department_number,department_name,hazmat_flag,gift_flag,dt,release_date,received_date,purchase_year,purchase_month,channel_type
null,086840228600000003323800001,,2020-10-07,40951738,2055887,726,0,S,US,N,null,SEPHORA COLOR,,null,null,16,1,Blush,,,,33238,2,2020-10-07,40,Sephora Collection,null,null,2020-10-15-135812,null,null,2020,10,US STORE
1007639174,087060092300000003367700004,null,2020-10-29,40954837,2086650,472,-2.64,S,US,N,null,BENEFIT,,null,null,11.36,1,Makeup,,null,,33677,2,2020-10-29,10,Makeup,null,null,2020-10-31-154221,null,null,2020,10,US STORE
null,086840257800000000747200001,,2020-10-07,40983630,2372662,324,0,S,US,N,null,"ARMANI, GIORGIO",,null,null,29,1,Rollerballs & Travel Size,,,,7472,1,2020-10-07,20,Fragrance,null,null,2020-10-15-135812,null,null,2020,10,US STORE
1007639174,087060092300000003367700004,null,2020-10-29,40985270,2388486,472,0,S,US,N,null,GLOW RECIPE,BI,null,null,0,1,BI,,null,,33677,4,2020-10-29,97,Unclassified,null,null,2020-10-31-154221,null,null,2020,10,US STORE
null,086840271900000005317100003,,2020-10-07,40977403,2311926,1184,0,S,US,N,null,NEST FINE FRAGRANCES,,null,null,74,1,Perfume,,,,53171,1,2020-10-07,20,Fragrance,null,null,2020-10-15-135812,null,null,2020,10,US STORE
1007639174,087060092300000003367700004,null,2020-10-29,40972273,2260537,472,-7.36,S,US,N,null,TOO FACED,,null,null,31.64,1,Foundation,,null,,33677,1,2020-10-29,10,Makeup,null,null,2020-10-31-154221,null,null,2020,10,US STORE
null,086840279700000004234400001,,2020-10-07,40949303,2030740,1206,0,R,US,N,null,IGK,,null,null,-28,-1,Leave-In Conditioner,,,,42344,1,2020-10-07,16,Hair,null,null,2020-10-15-135812,null,null,2020,10,US STORE
1007639174,087060092300000003367700004,null,2020-10-29,40985270,2388486,472,0,S,US,N,null,GLOW RECIPE,BI,null,null,0,1,BI,,null,,33677,3,2020-10-29,97,Unclassified,null,null,2020-10-31-154221,null,null,2020,10,US STORE
null,086840279700000004234400001,,2020-10-07,40949303,2030740,1206,0,S,US,N,null,IGK,,null,null,28,1,Leave-In Conditioner,,,,42344,2,2020-10-07,16,Hair,null,null,2020-10-15-135812,null,null,2020,10,US STORE
1004201483,087030044600000003666000002,null,2020-10-26,40977199,2309391,280,0,S,US,N,null,CHARLOTTE TILBURY,,null,null,34,1,Lipstick,,null,,36660,2,2020-10-26,10,Makeup,null,null,2020-10-29-160918,null,null,2020,10,US STORE
null,086840291700000000170400001,,2020-10-07,209617,1459403,1328,0,S,US,N,null,LIVING PROOF INC,,null,null,38,1,Hair Styling Products,,,,1704,1,2020-10-07,16,Hair,null,null,2020-10-15-135812,null,null,2020,10,US STORE
